,cases,deaths,bed_occupancy,hospital_ward,co,so2,pm25,pm10,o3,no2,pressure,temperature,humidity,dew,retail and recreation,grocery and pharmacy,parks,transit stations,workplaces,residential,holiday+7d,month,weekday_cat,weekday
2020-05-19,1452,173,79.09,3498.0,3.7,1.1,59.0,23.0,14.7,10.1,1025.0,18.0,84.0,14.0,-61.0,-13.0,-51.0,-56.0,-46.0,22.0,0,5,1,Tuesday
2020-05-20,1826,106,79.31,3647.0,3.7,1.1,59.0,25.0,13.0,12.4,1024.0,18.0,84.6,14.0,-67.0,-16.0,-51.0,-63.0,-57.0,26.0,0,5,2,Wednesday
2020-05-21,1985,103,79.44,3673.0,4.6,1.1,59.0,28.0,9.8,14.2,1021.0,19.5,71.1,13.0,-67.0,-12.0,-51.0,-63.0,-59.0,26.0,0,5,3,Thursday
2020-05-22,1522,114,80.27,3709.0,4.6,1.1,63.0,35.0,9.8,14.7,1017.0,22.2,62.5,13.0,-64.0,-9.0,-44.0,-55.0,-49.0,24.0,0,5,4,Friday
2020-05-23,1914,139,80.86,3795.0,2.8,0.6,34.0,14.0,10.6,6.0,1016.0,20.0,81.7,15.3,-66.0,-11.0,-62.0,-52.0,-30.0,18.0,0,5,5,Saturday
2020-05-24,640,43,80.56,3849.0,1.9,0.6,21.0,9.0,13.5,4.6,1019.0,13.3,76.0,8.0,-70.0,-20.0,-61.0,-56.0,-23.0,16.0,0,5,6,Sunday
2020-05-25,677,21,80.24,3776.0,1.9,0.6,25.0,12.0,16.7,6.0,1016.0,14.1,60.4,6.0,-69.0,-21.0,-59.0,-66.0,-62.0,27.0,0,5,0,Monday
2020-05-26,1350,136,80.27,3839.0,3.7,1.1,38.0,20.0,15.1,12.4,1016.0,13.8,62.0,5.0,-62.0,-13.0,-52.0,-55.0,-44.0,21.0,0,5,1,Tuesday
2020-05-27,1710,135,80.11,3969.0,2.8,1.1,53.0,24.0,12.2,15.6,1019.5,13.0,66.7,6.0,-62.0,-11.0,-47.0,-54.0,-45.0,22.0,0,5,2,Wednesday
2020-05-28,3455,132,80.27,4287.0,3.7,1.6,50.0,21.0,11.4,14.2,1022.0,13.0,82.7,8.0,-61.0,-7.0,-46.0,-54.0,-45.0,22.0,0,5,3,Thursday
2020-05-29,3022,158,79.66,4323.0,5.5,1.6,74.0,40.0,7.0,23.4,1021.4,15.0,85.5,10.0,-60.0,-3.0,-39.0,-51.0,-41.0,21.0,0,5,4,Friday
2020-05-30,2878,123,79.3,4517.0,12.7,1.6,109.0,57.0,8.6,25.2,1020.0,16.0,71.0,8.0,-59.0,2.0,-48.0,-44.0,-21.0,14.0,0,5,5,Saturday
2020-05-31,1512,41,79.08,4463.0,9.1,1.1,97.0,50.0,12.2,20.6,1019.0,17.2,58.0,7.0,-65.0,-10.0,-45.0,-49.0,-12.0,12.0,0,5,6,Sunday
2020-06-01,995,24,78.7,4410.0,6.4,1.6,85.0,46.0,17.5,22.4,1019.0,17.5,59.1,9.0,-60.0,-10.0,-48.0,-52.0,-42.0,19.0,0,6,0,Monday
